BatchStart
|obsid         |prnb |status          |pi_lname    |pi_fname|target_name  |ra        |dec      |time                 |duration|exposure|_Search_Offset                |
|80137-01-33-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-06 00:57:06.6|    5279|    3537| 0.037 (17 46 15.6, -32 14 01)|
|93427-01-06-03|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-02-20 20:44:40.7|    8626|    3518| 0.460 (17 46 15.6, -32 14 01)|
|95360-14-16-00|95360|archived        |SHAPOSHNIKOV|NIKOLAI |H_1743-322   |17 46 15.6|-32 14 01|2010-09-06 19:05:12.2|    5813|    3515| 0.007 (17 46 15.6, -32 14 01)|
|80146-01-96-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-07-17 04:11:07.3|    4840|    3512| 0.037 (17 46 15.6, -32 14 01)|
|95360-14-15-00|95360|archived        |SHAPOSHNIKOV|NIKOLAI |H_1743-322   |17 46 15.6|-32 14 01|2010-09-05 13:17:13.6|    5333|    3511| 0.007 (17 46 15.6, -32 14 01)|
|93427-01-02-00|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-01-20 05:20:12.8|    4140|    3511| 0.460 (17 46 15.6, -32 14 01)|
|93427-01-02-01|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|  2008-01-19 10:30:13|    4140|    3510| 0.460 (17 46 15.6, -32 14 01)|
|80137-01-03-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-09-29 12:30:51.6|    5024|    3496| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-90-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-07-07 09:07:06.8|    5758|    3495| 0.037 (17 46 15.6, -32 14 01)|
|80137-01-17-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-10-17 07:51:50.7|    4288|    3495| 0.037 (17 46 15.6, -32 14 01)|
|80137-01-04-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-09-30 12:10:53.2|    5594|    3493| 0.037 (17 46 15.6, -32 14 01)|
|80135-02-01-11|80135|archived        |MILLER      |JON     |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-02 00:46:58.4|    4934|    3482| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-21-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-05-01 01:06:59.3|    5823|    3481|19.061 (17 46 15.6, -32 14 01)|
