BatchStart
|obsid         |prnb |status  |pi_lname    |pi_fname|target_name   |ra        |dec      |time                 |duration|exposure|_Search_Offset       |
|40401-01-40-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-18 19:55:04.2|    5971|    3060|2.657 (XTE J1550-564)|
|30514-03-16-00|30514|observed|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-07 03:09:51.8|    6676|    3013|2.657 (XTE J1550-564)|
|50134-02-04-01|50134|archived|LEWIN       |WALTER  |XTE_J1550-564 |15 50 40.8|-56 27 36|2000-05-04 19:46:33.6|    4108|    2990|2.657 (XTE J1550-564)|
|40401-01-22-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-27 20:17:39.8|    4181|    2982|2.657 (XTE J1550-564)|
|80135-01-02-10|80135|archived|MILLER      |JON     |XTE_1550-564  |15 50 59.0|-56 28 34|2003-03-29 13:15:08.4|    3582|    2978|0.059 (XTE J1550-564)|
|30191-01-02-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-19 23:49:42.2|    3961|    2973|2.657 (XTE J1550-564)|
|80135-01-03-10|80135|archived|MILLER      |JON     |XTE_J1550-564 |15 50 59.0|-56 28 34|2003-04-06 12:12:15.3|    4257|    2969|0.059 (XTE J1550-564)|
|30514-03-17-00|30514|observed|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-08 03:21:46.4|    3988|    2966|2.657 (XTE J1550-564)|
|30191-01-30-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-14 06:29:46.8|    3827|    2965|2.657 (XTE J1550-564)|
|50134-02-06-00|50134|archived|LEWIN       |WALTER  |XTE_J1550-564 |15 50 40.8|-56 27 36|2000-05-06 12:53:47.9|    4346|    2964|2.657 (XTE J1550-564)|
|30191-01-44-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-15 11:19:48.6|    4395|    2960|2.657 (XTE J1550-564)|
|30188-06-08-00|30188|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-14 06:26:27.2|    3737|    2941|2.657 (XTE J1550-564)|
|50137-02-06-00|50137|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|2000-04-20 17:04:22.4|    6329|    2940|2.657 (XTE J1550-564)|
|30188-06-06-00|30188|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-13 06:31:59.8|    3405|    2937|2.657 (XTE J1550-564)|
|30188-06-01-02|30188|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-10 01:25:03.6|    3881|    2927|2.657 (XTE J1550-564)|
|30435-01-19-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|  1998-12-22 01:19:06|    3818|    2927|2.657 (XTE J1550-564)|
